"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1065",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1066",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1067",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1068",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1069",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"107",14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0,16
"1070",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1071",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1073",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1075",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1076",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1077",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1078",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1079",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,28,0,0,0,4
"1082",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1083",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1084",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1085",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1086",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1088",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1089",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"109",10,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,0,8,15
"1091",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1093",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1094",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1095",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1096",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8
"1097",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1099",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"11",9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,0,5,15
"110",14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,0,0,13,2
"1100",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1101",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1102",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1103",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1104",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
"1105",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1106",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1107",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1108",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1109",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"111",12,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,8,0,0,15,2
"1110",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1111",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1112",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7
"1113",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18
