"","addPerson ","deletePerson ","editPerson ","searchPerson ","cluster"
"a189",100,56,50,78,1
"a191",81,44,60,86,1
"a193",78,45,72,78,1
"a194",90,71,43,78,1
"a197",99,63,53,58,1
"a198",94,61,45,70,1
"a2",50,30,54,62,1
"a200",86,52,55,86,1
"a201",90,50,43,78,1
"a202",275,178,148,226,2
"a206",148,71,92,148,2
"a208",87,53,54,78,1
"a21",77,45,60,62,1
"a213",102,59,65,74,1
"a214",82,65,44,86,1
"a216",84,55,54,82,1
"a217",167,117,91,160,2
"a218",76,44,60,74,1
"a220",192,122,98,120,2
"a222",80,59,53,74,1
"a223",176,124,94,144,2
"a225",26,19,14,25,1
"a226",69,32,47,66,1
"a228",80,62,49,78,1
"a229",84,68,44,82,1
"a23",179,106,113,176,2
"a232",93,67,52,90,1
"a235",64,35,65,62,1
"a236",164,95,115,144,2
"a24",101,71,39,74,1
"a240",60,33,62,78,1
"a242",185,121,90,164,2
"a244",70,42,68,62,1
"a245",71,28,78,86,1
"a247",72,48,59,70,1
"a254",85,63,52,74,1
"a257",77,37,58,66,1
"a258",78,55,58,86,1
"a259",69,29,59,78,1
"a26",76,35,46,66,1
"a260",86,47,71,74,1
"a262",197,117,110,188,2
"a263",104,75,50,90,1
"a264",87,31,54,78,1
"a265",91,60,42,62,1
"a266",74,50,38,58,1
"a268",82,48,44,74,1
"a269",151,92,103,160,2
"a27",58,33,53,90,1
"a271",82,56,65,86,1
"a275",249,156,172,226,2
"a277",264,135,164,242,2
"a281",103,67,44,66,1
"a288",98,62,45,90,1
"a297",55,38,65,70,1
"a298",81,60,57,98,1
"a300",174,123,80,139,2
"a302",190,101,130,140,2
"a308",85,61,45,66,1
"a309",133,64,110,117,2
"a314",77,53,62,82,1
"a315",92,65,36,78,1
"a316",136,70,131,144,2
"a318",244,149,177,238,2
"a32",227,141,163,198,2
"a320",84,51,55,78,1
"a326",96,70,35,70,1
"a327",67,42,46,56,1
"a328",54,23,75,98,1
"a329",262,168,138,234,2
"a330",229,153,145,234,2
"a334",100,69,43,90,1
"a335",73,44,56,78,1
"a336",95,61,37,62,1
"a337",88,39,45,86,1
"a341",87,58,57,90,1
"a343",103,75,39,82,1
"a344",97,53,74,70,1
"a346",75,36,69,94,1
"a347",90,65,56,58,1
"a35",88,48,43,50,1
"a353",70,46,52,54,1
"a357",70,56,58,82,1
"a359",68,43,49,70,1
"a362",83,53,43,66,1
"a364",111,72,43,78,1
"a365",85,46,55,78,1
"a366",76,44,49,74,1
"a37",82,63,37,70,1
"a370",83,29,74,66,1
"a371",83,54,47,62,1
"a372",90,56,38,70,1
"a374",147,75,93,141,2
"a379",145,102,101,132,2
"a382",91,74,39,74,1
"a386",82,50,63,70,1
"a389",182,111,103,168,2
"a39",84,48,63,74,1
"a391",91,50,47,62,1
"a392",79,37,69,94,1
"a394",76,52,43,58,1
"a4",75,49,75,102,1
"a401",106,77,50,78,1
"a402",83,59,52,73,1
"a406",70,53,47,62,1
"a408",98,71,40,58,1
"a409",104,75,39,78,1
"a410",90,52,51,82,1
"a411",96,70,44,66,1
"a412",92,60,57,74,1
"a413",76,47,56,62,1
"a419",65,32,47,50,1
"a42",76,40,64,78,1
"a420",87,67,33,70,1
"a421",179,138,83,156,2
"a426",99,68,52,70,1
"a427",154,80,113,164,2
"a429",109,88,44,98,2
"a432",81,69,55,98,1
"a434",78,51,35,70,1
"a436",168,117,104,152,2
"a440",75,41,69,54,1
"a444",75,54,39,66,1
"a446",104,47,71,94,1
"a45",87,51,55,62,1
"a451",285,179,147,250,2
"a454",68,41,57,78,1
"a455",50,34,65,90,1
"a456",74,46,52,70,1
"a457",56,35,58,82,1
"a458",86,54,70,70,1
"a46",78,45,44,78,1
"a460",221,140,151,218,2
"a467",159,90,119,148,2
"a471",84,41,61,66,1
"a473",119,87,75,100,2
"a475",68,30,62,70,1
"a476",65,39,57,82,1
"a477",183,108,128,160,2
"a479",65,51,66,82,1
"a480",80,57,73,86,1
"a482",90,61,49,78,1
"a490",87,64,49,54,1
"a492",58,48,33,39,1
"a493",73,54,50,78,1
"a497",87,44,56,58,1
"a498",67,42,56,86,1
"a499",181,135,108,124,2
"a500",76,36,65,78,1
"a502",101,67,52,74,1
"a503",192,152,77,152,2
"a506",143,87,120,160,2
"a511",60,38,49,90,1
"a513",90,60,49,74,1
"a519",99,83,27,64,1
"a52",91,59,46,78,1
"a524",82,43,60,66,1
"a527",91,61,53,90,1
"a528",97,66,36,66,1
"a529",71,55,66,78,1
"a531",183,112,111,172,2
"a533",78,18,52,82,1
"a535",175,130,65,148,2
"a539",89,59,49,78,1
"a54",91,66,44,86,1
"a540",64,38,57,70,1
"a543",147,82,113,148,2
"a544",95,52,39,74,1
"a545",81,56,42,70,1
"a546",177,120,91,120,2
"a548",114,91,36,62,1
"a55",160,116,84,152,2
"a550",66,49,63,82,1
"a551",145,90,112,152,2
"a558",61,34,61,106,1
"a56",77,49,51,66,1
"a562",76,37,57,86,1
"a566",80,50,67,66,1
"a567",83,63,37,66,1
"a572",78,36,77,86,1
"a574",154,85,101,140,2
"a575",69,39,69,74,1
"a577",160,109,120,164,2
"a578",72,40,57,86,1
"a579",155,107,128,180,2
"a580",90,55,58,78,1
"a581",69,54,42,62,1
"a583",78,52,74,98,1
"a584",51,27,55,86,1
"a585",94,53,74,86,1
"a588",176,112,79,151,2
"a59",158,90,119,160,2
"a590",159,102,114,152,2
"a593",173,90,108,152,2
"a594",67,51,51,78,1
"a595",82,59,38,66,1
"a597",73,53,66,86,1
"a60",182,112,115,148,2
"a602",79,43,41,62,1
"a604",161,101,114,164,2
"a607",74,27,55,70,1
"a608",98,76,39,54,1
"a609",142,88,104,160,2
"a61",67,51,67,58,1
"a613",130,88,64,133,2
"a614",93,54,50,62,1
"a617",110,79,44,80,1
"a620",65,43,56,74,1
"a621",148,106,105,160,2
"a623",54,37,61,74,1
"a628",213,115,174,226,2
"a63",175,115,103,140,2
"a633",83,59,61,86,1
"a637",87,63,49,66,1
"a639",225,162,151,218,2
"a642",166,105,121,140,2
"a650",65,28,59,46,1
"a656",52,36,62,58,1
"a657",79,57,50,58,1
"a661",77,45,64,70,1
"a662",91,61,45,82,1
"a669",129,83,113,168,2
"a670",82,53,66,82,1
"a671",426,255,284,390,3
"a675",189,123,137,172,2
"a676",86,54,62,70,1
"a677",91,66,44,66,1
"a678",108,63,37,58,1
"a679",73,41,80,98,1
"a680",183,127,86,140,2
"a681",106,70,51,82,1
"a683",74,43,53,66,1
"a685",84,44,56,50,1
"a693",86,55,66,70,1
"a694",56,25,68,91,1
"a696",64,19,64,82,1
"a7",96,71,36,54,1
"a70",102,57,58,58,1
"a702",73,43,52,82,1
"a707",96,72,35,66,1
"a708",112,45,127,148,2
"a71",80,42,60,70,1
"a712",167,107,101,148,2
"a714",92,56,38,58,1
"a715",77,46,56,62,1
"a716",85,55,50,74,1
"a719",258,157,175,230,2
"a723",78,46,56,78,1
"a724",82,33,73,94,1
"a726",101,85,41,58,1
"a727",100,66,60,70,1
"a730",84,49,59,94,1
"a731",81,70,40,78,1
"a733",80,41,80,82,1
"a736",169,118,99,136,2
"a737",173,115,99,128,2
"a739",69,39,72,82,1
"a74",89,50,47,78,1
"a741",89,68,40,66,1
"a742",72,27,71,78,1
"a743",156,100,125,172,2
"a744",96,67,41,71,1
"a745",99,56,53,86,1
"a747",53,37,45,56,1
"a748",72,40,53,70,1
"a751",88,48,52,66,1
"a753",85,68,40,86,1
"a754",62,31,74,94,1
"a755",99,54,74,97,1
"a758",77,33,62,62,1
"a759",84,44,60,66,1
"a76",97,67,48,86,1
"a762",87,64,52,90,1
"a763",198,155,100,160,2
"a764",177,88,100,148,2
"a765",177,128,120,171,2
"a770",98,66,60,94,1
"a773",89,72,43,78,1
"a774",70,27,59,78,1
"a775",80,64,60,110,1
"a776",93,65,41,74,1
"a777",193,131,84,184,2
"a779",91,55,58,66,1
"a782",172,103,109,160,2
"a783",85,51,59,66,1
"a784",171,120,78,141,2
"a785",148,101,114,124,2
"a788",79,44,56,82,1
"a789",97,80,22,70,1
"a79",172,131,93,140,2
"a793",92,65,37,74,1
"a798",157,106,85,148,2
"a80",96,46,52,58,1
"a800",91,59,61,78,1
"a802",93,67,44,78,1
"a803",174,89,100,144,2
"a809",84,57,50,82,1
"a813",66,40,57,78,1
"a816",88,55,54,86,1
"a817",102,68,48,62,1
"a818",63,33,75,96,1
"a823",78,45,60,54,1
"a826",78,46,63,78,1
"a828",89,48,63,86,1
"a832",76,60,24,81,1
"a835",112,70,104,132,2
"a837",142,102,98,148,2
"a84",77,55,35,62,1
"a842",87,51,43,70,1
"a843",163,113,95,160,2
"a845",69,37,69,78,1
"a855",71,31,82,74,1
"a856",179,153,81,164,2
"a858",75,39,41,86,1
"a860",73,30,55,70,1
"a863",82,64,53,74,1
"a866",84,62,49,74,1
"a867",139,79,118,132,2
"a868",79,52,51,58,1
"a869",226,118,178,222,2
"a87",74,50,59,74,1
"a871",75,43,60,74,1
"a872",160,113,88,127,2
"a873",156,106,128,168,2
"a877",88,55,50,78,1
"a879",59,42,33,46,1
"a881",153,72,115,164,2
"a889",196,123,118,148,2
"a891",85,57,50,54,1
"a893",94,62,53,58,1
"a894",167,120,130,152,2
"a896",54,36,65,66,1
"a897",79,34,77,78,1
"a898",74,29,74,66,1
"a899",70,38,53,70,1
"a90",90,54,58,98,1
"a903",94,58,41,98,1
"a905",80,50,70,66,1
"a908",83,57,54,62,1
"a912",83,59,49,78,1
"a914",67,49,51,82,1
"a917",168,113,92,144,2
"a920",144,70,111,172,2
"a921",84,56,46,78,1
"a922",81,56,46,74,1
"a926",93,71,40,62,1
"a927",81,60,53,70,1
"a928",88,65,48,62,1
"a93",101,67,48,70,1
"a931",98,57,58,66,1
"a932",72,51,47,74,1
"a933",81,72,51,94,1
"a934",73,47,51,82,1
"a938",81,54,35,66,1
"a940",67,37,77,74,1
"a941",72,55,50,66,1
"a942",69,54,66,86,1
"a944",107,80,34,62,1
"a945",84,64,41,90,1
"a949",80,45,52,74,1
"a950",96,67,52,78,1
"a952",71,57,61,86,1
"a954",79,63,56,74,1
"a955",87,64,33,62,1
"a956",91,51,51,74,1
"a957",84,44,52,82,1
"a962",78,40,57,70,1
"a964",91,46,55,78,1
"a965",56,40,53,78,1
"a967",79,54,50,86,1
"a970",92,57,49,82,1
"a972",85,58,50,66,1
"a973",103,76,31,78,1
"a975",82,60,41,78,1
"a977",16,14,9,15,1
"a980",172,115,103,156,2
"a983",63,53,62,74,1
"a987",152,120,84,143,2
"a989",93,47,51,82,1
"a99",102,59,61,74,1
"a992",104,66,44,78,1
"a994",94,61,53,74,1
"a995",303,187,207,288,3
"a997",90,67,48,90,1
