,a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5
107,14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0
1070,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,28,0,0,0
1082,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,10,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,0,8
1091,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1097,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,0,5
110,14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,0,0,13
1100,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1105,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,8,0,0,15
1110,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1113,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1115,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1118,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,22,0,0,0
1121,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1126,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1128,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1129,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,6
1131,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1136,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,15,0,0,5
1141,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,20,0,0,0
1150,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,31,0,0,0
1161,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,33,0,0,0
1170,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
1174,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
118,10,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,6,11
1180,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
