,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,s1,s2,s3,s4,s5,s6
108,6,0,0,0,0,0,0,0,0,0,38,3,36,2,2,2
1080,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1082,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1083,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,4,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0
1086,6,0,4,2,0,10,0,0,0,0,0,0,0,0,0,0
1087,4,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
1088,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1089,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
109,13,0,0,0,0,0,0,0,0,0,37,3,32,2,0,0
1090,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1091,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1092,6,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0
1093,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1094,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,2,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0
1098,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1099,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0,0,33,3,29,2,0,0
110,14,0,0,0,0,0,0,0,0,0,34,0,29,0,0,0
1100,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,2,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0
1103,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1104,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1105,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1106,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1109,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
111,14,0,0,0,0,0,0,0,0,0,39,0,37,0,0,0
1110,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1111,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1112,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1113,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
1114,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1116,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1117,8,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0
1118,2,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0
1119,6,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
112,9,0,0,0,0,0,0,0,0,0,31,2,27,1,1,1
1120,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1121,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1122,4,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
1123,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1126,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1127,2,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0
1128,4,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0
1129,4,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0
113,6,0,0,0,0,0,0,0,0,0,31,2,26,2,0,0
1130,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1131,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1134,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1136,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1139,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
114,9,0,0,0,0,0,0,0,0,0,38,3,29,3,1,0
1140,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1141,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
1143,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1144,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1145,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
115,8,0,0,0,0,0,0,0,0,0,31,3,26,2,1,1
1150,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1151,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0
1153,2,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0
1154,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
1155,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,4,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
116,7,0,0,0,0,0,0,0,0,0,38,4,34,4,2,2
1160,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1162,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0
1164,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,4,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0
1166,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1167,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1168,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
117,11,0,0,0,0,0,0,0,0,0,43,3,38,3,3,2
1170,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1171,4,0,20,0,0,0,0,0,0,2,0,0,0,0,0,0
1172,6,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0
1173,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1175,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,6,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0
1177,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1178,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0
1179,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
118,11,0,0,0,0,0,0,0,0,0,44,1,41,1,1,1
1180,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1181,4,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0
1182,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
1183,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1184,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0
1186,4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
1187,2,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0
1188,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
119,12,0,0,0,0,0,0,0,0,0,45,1,36,1,1,1
1190,2,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0
1191,2,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
1192,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
1193,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
1194,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1198,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
12,8,0,0,0,0,0,0,0,0,0,34,2,31,2,2,2
120,5,0,0,0,0,0,0,0,0,0,22,3,21,1,0,0
1200,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1205,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1206,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1207,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1208,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
121,6,0,0,0,0,0,0,0,0,0,27,0,22,0,0,0
1210,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1214,6,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0
1215,2,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0
1216,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
122,11,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0
1220,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1221,4,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0
1222,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
1223,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1225,6,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0
1226,2,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0
1227,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1228,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,10,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
123,7,0,0,0,0,0,0,0,0,0,40,2,33,2,0,0
1230,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
1234,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1235,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
1236,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
1238,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
1239,2,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0
124,12,0,0,0,0,0,0,0,0,0,41,3,37,1,0,0
1240,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0
1243,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
1245,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,4,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1247,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
125,9,0,0,0,0,0,0,0,0,0,32,2,30,2,0,0
1250,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
1251,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1252,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1253,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1254,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0
1255,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1256,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1258,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1259,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
126,10,0,0,0,0,0,0,0,0,0,33,1,30,1,0,0
1260,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0
1263,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
1264,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0
1265,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
1266,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1268,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
1269,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
127,7,0,0,0,0,0,0,0,0,0,54,1,50,1,1,1
1270,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1272,6,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0
1273,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
1275,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
1276,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1277,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1279,2,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0
128,6,0,0,0,0,0,0,0,0,0,36,1,35,1,1,0
1280,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
1281,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
1282,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1284,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
1285,2,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
1286,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1287,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1288,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7,0,0,0,0,0,0,0,0,0,35,2,28,1,0,0
1290,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1293,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,4,0,2,6,0,8,0,0,0,0,0,0,0,0,0,0
1296,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,0,0,0,0,0,0,39,1,37,0,0,0
130,6,0,0,0,0,0,0,0,0,0,35,2,31,2,1,1
1300,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1302,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1303,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0
1305,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0
1307,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1308,0,0,6,0,0,22,0,0,0,0,0,0,0,0,0,0
1309,10,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0
131,7,0,0,0,0,0,0,0,0,0,31,1,27,1,1,1
1310,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,8,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0
1313,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1314,2,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0
1315,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1316,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1317,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
132,12,0,0,0,0,0,0,0,0,0,32,2,26,1,1,1
1320,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1321,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0
1323,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
1324,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1325,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1328,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
1329,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
133,10,0,0,0,0,0,0,0,0,0,36,3,32,2,1,0
1330,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
1331,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1333,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
1334,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
1335,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1336,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1338,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1339,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
134,8,0,0,0,0,0,0,0,0,0,31,3,26,3,2,2
1340,6,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
1341,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
1345,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1347,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1348,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
135,13,0,0,0,0,0,0,0,0,0,36,3,31,2,2,2
1350,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1352,2,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0
1353,2,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
1354,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
