"","addPerson 1","deletePerson 1","editPerson 1","editPerson 10","editPerson 2","editPerson 3","editPerson 4","editPerson 5","editPerson 6","editPerson 7","editPerson 8","editPerson 9","searchPerson 1","searchPerson 10","searchPerson 2","searchPerson 3","searchPerson 4","searchPerson 5","searchPerson 6","searchPerson 7","searchPerson 8","searchPerson 9","cluster"
"a163",79,51,0,0,0,0,3,6,13,12,1,4,32,0,8,9,9,2,1,0,1,0,1
"a17",150,117,5,0,0,0,20,19,20,29,10,12,108,0,10,19,18,6,6,0,1,0,1
"a170",171,130,0,0,0,1,13,16,10,4,15,26,100,0,11,13,21,9,3,1,1,1,1
"a172",84,64,0,0,0,0,0,1,6,14,12,1,29,1,5,4,9,7,1,0,0,0,1
"a181",120,81,0,0,0,0,7,14,0,9,0,7,44,0,7,6,11,3,1,1,1,0,1
"a187",75,50,0,0,0,5,6,6,13,20,10,3,40,0,4,10,10,4,2,0,0,0,1
"a189",100,56,0,0,0,0,6,1,17,14,5,7,48,0,3,10,11,5,0,0,1,0,1
"a191",81,44,0,0,0,0,20,10,7,3,7,13,56,0,9,8,10,1,1,0,0,1,1
"a193",78,45,0,0,0,5,11,7,6,17,19,7,47,0,7,7,13,1,2,0,1,0,1
"a194",90,71,0,0,0,0,0,4,14,7,7,11,48,0,8,5,5,9,1,2,0,0,1
"a197",99,63,0,0,0,1,11,0,18,2,14,7,28,1,9,6,9,2,1,1,0,1,1
"a198",94,61,0,0,0,0,2,8,2,21,1,11,37,0,9,5,15,2,1,0,0,1,1
"a2",50,30,1,0,0,6,6,6,12,8,11,4,32,0,6,10,8,2,2,1,0,1,1
"a200",86,52,0,0,0,0,7,8,8,12,8,12,56,0,9,3,11,5,1,0,1,0,1
"a201",90,50,0,0,0,0,1,5,13,17,2,5,48,0,4,4,20,1,1,0,0,0,1
"a202",275,178,0,0,0,1,10,8,49,28,33,19,136,0,19,25,29,9,3,3,1,1,1
"a206",148,71,0,0,0,1,31,8,19,11,11,11,85,0,12,22,18,5,4,1,1,0,1
"a208",87,53,0,0,0,0,3,8,17,12,6,8,46,0,9,4,11,2,4,2,0,0,1
"a21",77,45,0,0,0,0,6,7,27,5,2,13,31,0,6,6,7,3,5,0,3,1,1
"a213",102,59,1,0,0,1,8,0,15,21,11,8,42,0,5,8,14,3,2,0,0,0,1
"a214",82,65,0,0,0,1,1,13,12,9,6,2,56,0,5,9,10,1,4,0,1,0,1
"a216",84,55,1,0,0,5,27,6,7,6,2,0,52,0,4,7,13,2,2,1,0,1,1
"a217",167,117,0,0,0,0,13,13,24,17,4,20,95,0,6,15,31,6,6,0,0,1,1
"a218",76,44,0,0,0,0,18,12,6,3,4,17,41,0,5,7,11,2,7,1,0,0,1
"a220",192,122,1,0,0,1,18,4,31,26,9,8,60,0,12,17,20,6,4,0,1,0,1
"a222",80,59,0,0,0,0,1,11,17,7,4,13,44,0,5,6,10,4,3,2,0,0,1
"a223",176,124,0,0,0,1,17,13,14,9,20,20,84,0,12,14,21,9,1,1,2,0,1
"a225",26,19,0,0,0,0,0,0,7,0,0,7,16,0,3,5,0,0,1,0,0,0,1
"a226",69,32,0,0,0,0,5,4,11,7,11,9,33,0,5,4,12,6,1,1,0,4,1
"a228",80,62,0,0,0,0,2,1,27,4,1,14,48,0,7,7,10,6,0,0,0,0,1
"a229",84,68,0,0,0,0,1,3,16,12,1,11,52,0,8,5,10,5,2,0,0,0,1
"a23",179,106,0,0,0,1,26,15,9,34,18,10,115,0,16,8,26,7,3,0,1,0,1
"a232",93,67,0,0,0,1,2,10,12,8,11,8,60,0,11,5,8,4,1,1,0,0,1
"a235",64,35,0,0,0,0,10,8,7,17,6,17,30,0,6,12,10,2,1,1,0,0,1
"a236",164,95,0,0,5,5,14,20,21,11,20,19,82,0,13,16,21,7,2,2,0,1,1
"a24",101,71,0,0,0,5,10,1,14,2,4,3,44,0,7,6,12,2,1,2,0,0,1
"a240",60,33,0,0,0,6,26,6,2,13,8,1,48,0,5,9,9,5,0,1,0,1,1
"a242",185,121,0,0,0,1,11,14,13,23,9,19,102,0,14,20,22,3,1,1,1,0,1
"a244",70,42,0,0,0,0,17,16,11,9,13,2,28,0,7,6,13,5,2,1,0,0,1
"a245",71,28,1,0,0,0,11,12,18,1,6,29,56,0,5,10,7,5,3,0,0,0,1
"a247",72,48,0,0,0,0,12,12,21,4,2,8,40,0,5,9,9,7,0,0,0,0,1
"a254",85,63,0,0,0,0,2,8,1,16,7,18,44,0,5,10,8,3,2,2,0,0,1
"a257",77,37,0,0,1,0,11,2,19,11,6,8,36,0,6,4,12,6,2,0,0,0,1
"a258",78,55,0,0,0,5,4,3,11,6,11,18,56,0,11,5,7,3,3,1,0,0,1
"a259",69,29,0,0,0,1,9,15,8,10,8,8,48,0,5,8,10,6,1,0,0,0,1
"a26",76,35,0,0,0,1,2,11,14,5,8,5,36,0,7,10,7,3,0,2,0,1,1
"a260",86,47,0,0,0,0,8,5,21,33,0,4,43,0,2,9,12,5,2,1,0,0,1
"a262",197,117,0,1,0,1,14,21,28,20,3,22,128,0,12,11,24,5,4,3,0,1,1
"a263",104,75,0,0,0,0,5,12,6,13,2,12,60,0,7,3,11,4,1,1,1,2,1
"a264",87,31,0,0,0,1,13,19,12,7,0,2,44,0,6,6,10,10,0,2,0,0,1
"a265",91,60,0,0,0,1,12,8,7,4,8,2,28,0,9,6,8,3,0,1,1,6,1
"a266",74,50,0,0,0,0,1,0,6,0,5,26,40,0,2,5,4,2,4,0,1,0,1
"a268",82,48,0,0,0,0,8,17,3,9,3,4,44,0,7,7,11,3,2,0,0,0,1
"a269",151,92,0,0,0,0,24,14,33,12,11,9,97,0,9,7,26,10,8,0,2,1,1
"a27",58,33,0,0,0,0,17,1,3,17,2,13,60,0,9,8,11,0,1,1,0,0,1
"a271",82,56,0,0,0,0,0,6,18,8,20,13,56,0,2,10,15,0,2,0,0,1,1
"a275",249,156,0,0,0,1,25,41,39,34,9,23,128,0,26,19,34,7,4,1,6,1,1
"a277",264,135,0,0,0,0,32,36,27,14,17,38,148,0,19,20,31,11,9,3,1,0,1
"a281",103,67,0,0,0,5,12,1,6,16,0,4,36,0,8,4,6,5,6,0,0,1,1
"a288",98,62,0,0,0,0,1,0,11,17,8,8,60,0,6,6,10,3,5,0,0,0,1
"a297",55,38,0,0,0,0,10,4,22,14,11,4,40,0,8,6,8,6,2,0,0,0,1
"a298",81,60,0,0,0,5,8,12,18,8,1,5,65,0,8,11,5,5,3,0,1,0,1
"a300",174,123,0,0,0,0,4,17,16,12,2,29,84,0,13,14,18,5,3,2,0,0,1
"a302",190,101,0,0,0,10,8,5,27,30,28,22,80,0,15,11,16,7,6,3,1,1,1
"a308",85,61,0,0,0,1,15,7,0,14,7,1,36,0,4,8,9,8,1,0,0,0,1
"a309",133,64,0,0,0,15,26,18,8,22,13,8,64,0,9,7,18,12,2,0,0,5,1
"a314",77,53,0,0,0,1,17,7,12,2,7,16,48,0,6,8,9,8,1,2,0,0,1
"a315",92,65,0,0,0,0,7,11,2,5,9,2,48,0,7,7,11,3,0,0,1,1,1
"a316",136,70,0,0,1,2,18,17,20,38,17,18,81,0,9,18,18,12,3,2,0,1,1
"a318",244,149,0,0,0,5,28,16,44,33,17,34,141,0,20,16,36,11,7,4,1,2,1
"a32",227,141,0,0,0,6,14,11,45,42,9,36,105,0,16,22,36,8,7,3,0,1,1
"a320",84,51,0,0,0,2,11,8,13,17,0,4,48,0,6,5,9,8,1,1,0,0,1
"a326",96,70,0,0,0,0,3,3,6,15,8,0,40,0,3,6,12,3,3,1,2,0,1
"a327",67,42,0,0,0,5,3,0,2,21,2,13,31,0,4,9,9,2,1,0,0,0,1
"a328",54,23,0,0,0,0,21,8,19,10,12,5,64,0,7,4,10,6,1,0,6,0,1
"a329",262,168,0,0,0,6,23,21,30,22,18,18,142,0,19,12,30,14,12,2,2,1,1
"a330",229,153,0,0,1,10,17,21,32,30,15,19,144,0,23,17,27,11,9,1,0,2,1
"a334",100,69,0,0,0,0,3,2,11,10,11,6,60,0,7,7,10,2,3,0,1,0,1
"a335",73,44,0,0,0,1,1,7,12,4,11,20,48,0,10,6,6,4,2,0,2,0,1
"a336",95,61,0,0,0,0,7,7,6,3,12,2,32,0,6,7,13,2,1,0,0,1,1
"a337",88,39,0,0,0,0,12,6,8,2,6,11,56,0,6,5,17,2,0,0,0,0,1
"a341",87,58,0,0,0,0,2,3,13,18,1,20,60,0,4,11,10,4,1,0,0,0,1
"a343",103,75,0,0,0,0,1,7,5,16,2,8,52,0,7,6,10,2,4,1,0,0,1
"a344",97,53,0,0,0,1,5,11,9,21,20,7,40,0,3,4,14,4,3,1,0,1,1
"a346",75,36,0,0,0,1,11,8,7,13,22,7,64,0,3,12,13,1,1,0,0,0,1
"a347",90,65,0,0,0,0,13,5,19,6,1,12,28,0,7,7,12,3,0,1,0,0,1
"a35",88,48,0,0,0,0,0,1,18,16,3,5,20,1,9,2,11,6,1,0,0,0,1
"a353",70,46,0,0,0,0,7,1,14,14,1,15,24,0,8,8,9,2,1,2,0,0,1
"a357",70,56,0,0,0,1,11,7,13,14,7,5,48,0,4,4,10,7,2,1,0,6,1
"a359",68,43,0,0,0,0,4,2,9,17,2,15,40,0,5,6,10,6,1,1,0,1,1
"a362",83,53,0,0,0,0,5,0,15,9,12,2,36,0,2,9,13,1,2,3,0,0,1
"a364",111,72,0,0,0,0,4,8,11,17,1,2,48,0,4,4,15,4,3,0,0,0,1
"a365",85,46,0,0,0,0,5,7,7,12,12,12,48,0,7,3,14,3,2,0,1,0,1
"a366",76,44,0,0,0,0,4,7,13,6,8,11,44,0,5,4,12,7,2,0,0,0,1
"a37",82,63,0,0,0,1,2,1,9,15,1,8,36,0,7,11,10,3,0,1,2,0,1
"a370",83,29,0,0,0,5,8,7,3,23,7,21,36,0,6,10,7,4,1,0,1,1,1
"a371",83,54,0,0,0,0,13,5,6,15,0,8,32,0,6,8,8,5,2,0,0,1,1
"a372",90,56,0,0,0,2,6,3,5,10,11,1,40,0,4,8,12,3,2,1,0,0,1
"a374",147,75,0,0,0,0,13,6,8,24,10,32,96,0,9,18,11,4,1,2,0,0,1
"a379",145,102,0,0,0,3,20,13,22,17,15,11,71,0,12,12,18,14,1,2,2,0,1
"a382",91,74,0,0,0,5,1,3,13,6,3,8,38,0,7,14,11,3,0,1,0,0,1
"a386",82,50,0,0,0,0,12,7,19,8,11,6,40,0,5,6,15,2,0,1,1,0,1
"a389",182,111,0,0,0,0,14,13,32,20,14,10,108,0,23,10,18,4,4,0,1,0,1
"a39",84,48,0,0,0,0,9,11,12,7,6,18,44,0,6,8,10,3,2,1,0,0,1
"a391",91,50,0,0,0,0,5,6,17,12,2,5,32,0,6,6,12,5,1,0,0,0,1
"a392",79,37,0,0,0,0,5,9,13,27,7,8,64,0,8,4,8,6,1,2,0,1,1
"a394",76,52,0,0,0,1,1,2,5,27,3,4,28,0,7,7,8,4,2,1,0,1,1
"a4",75,49,0,0,0,1,11,6,11,24,6,16,72,0,8,5,11,4,1,0,0,1,1
"a401",106,77,0,0,0,0,0,2,2,13,17,16,48,0,9,5,11,3,1,1,0,0,1
"a402",83,59,0,0,0,0,0,1,12,9,7,23,40,0,3,11,15,1,2,1,0,0,1
"a406",70,53,0,0,0,1,4,8,11,19,2,2,32,0,5,5,12,3,4,0,0,1,1
"a408",98,71,0,0,0,0,2,5,14,5,12,2,28,0,6,4,11,3,3,2,0,1,1
"a409",104,75,0,0,0,0,1,1,10,17,7,3,48,0,8,10,5,6,0,0,1,0,1
"a410",90,52,0,0,0,0,12,12,3,8,11,5,52,0,3,9,12,3,0,2,1,0,1
"a411",96,70,0,0,0,1,1,6,12,15,9,0,33,0,7,4,11,3,2,1,0,5,1
"a412",92,60,0,0,0,1,3,11,7,17,0,18,44,0,4,7,9,5,3,0,0,2,1
"a413",76,47,0,0,0,0,31,6,4,13,1,1,32,0,8,9,5,3,5,0,0,0,1
"a419",65,32,0,0,0,5,2,4,11,9,5,11,20,0,7,6,11,3,2,0,1,0,1
"a42",76,40,0,0,0,0,17,2,13,17,8,7,48,0,7,5,11,3,2,2,0,0,1
"a420",87,67,0,0,0,0,6,2,8,8,2,7,40,0,7,6,12,4,1,0,0,0,1
"a421",179,138,1,0,0,0,11,8,7,34,9,13,96,0,6,22,18,8,6,0,0,0,1
"a426",99,68,0,0,0,0,19,13,8,11,1,0,40,0,4,7,10,5,3,1,0,0,1
"a427",154,80,0,0,0,11,16,11,22,23,14,16,104,0,15,17,15,8,1,3,1,0,1
"a429",109,88,0,0,0,0,0,5,8,16,2,13,68,0,5,9,7,5,3,0,1,0,1
"a432",81,69,0,0,0,1,6,2,27,12,6,1,68,0,9,2,12,6,0,1,0,0,1
"a434",78,51,0,0,0,2,3,7,5,7,4,7,40,0,2,9,12,3,3,0,0,1,1
"a436",168,117,0,0,0,11,18,8,40,19,3,5,92,0,12,17,15,8,5,1,1,1,1
"a440",75,41,0,0,0,0,7,0,18,35,6,3,24,0,3,9,10,3,4,1,0,0,1
"a444",75,54,0,0,0,5,9,1,4,2,2,16,36,0,9,2,10,5,2,1,1,0,1
"a446",104,47,0,0,0,0,1,8,16,18,11,17,64,0,3,9,13,3,2,0,0,0,1
"a45",87,51,0,0,0,2,8,16,14,7,5,3,32,0,6,8,10,2,1,1,1,1,1
"a451",285,179,0,0,0,0,5,30,32,33,22,25,156,0,22,25,29,14,2,1,1,0,1
"a454",68,41,0,0,0,0,8,2,21,4,2,20,47,0,6,7,14,3,0,0,1,0,1
"a455",50,34,0,0,0,0,3,7,11,22,17,5,60,0,8,4,11,4,2,1,0,0,1
"a456",74,46,0,0,0,5,6,2,16,10,2,11,40,0,6,7,8,5,2,1,0,1,1
"a457",56,35,0,0,0,0,6,13,22,1,4,12,48,0,6,9,12,2,3,0,1,1,1
"a458",86,54,0,0,0,0,10,10,10,18,8,14,40,0,4,6,9,6,3,1,1,0,1
"a46",78,45,0,0,0,1,6,8,3,9,8,9,47,0,7,8,12,3,1,0,0,0,1
"a460",221,140,0,0,0,0,11,19,31,39,25,26,125,0,21,13,38,11,9,0,0,1,1
"a467",159,90,0,0,0,6,26,7,33,23,13,11,88,0,18,14,17,8,2,1,0,0,1
"a471",84,41,0,0,0,0,0,6,27,8,11,9,36,0,8,8,7,3,4,0,0,0,1
"a473",119,87,0,0,0,0,1,7,19,18,7,23,52,0,7,13,16,6,1,0,0,5,1
"a475",68,30,0,0,0,0,16,6,11,19,2,8,40,0,11,7,8,2,2,0,0,0,1
"a476",65,39,0,0,0,1,2,11,3,19,14,7,52,0,9,8,6,4,2,1,0,0,1
"a477",183,108,0,0,0,6,28,17,25,20,17,15,100,0,13,11,17,11,4,1,2,1,1
"a479",65,51,0,0,0,0,2,6,23,25,7,3,52,0,6,7,10,7,0,0,0,0,1
"a480",80,57,0,0,0,0,0,5,1,34,7,26,56,0,6,6,10,5,3,0,0,0,1
"a482",90,61,0,0,0,0,2,6,17,5,3,16,48,0,7,7,12,2,1,1,0,0,1
"a490",87,64,0,0,0,0,8,17,13,5,6,0,24,0,5,8,8,4,3,2,0,0,1
"a492",58,48,5,0,0,0,7,1,0,8,6,6,18,0,3,5,10,0,2,1,0,0,1
"a493",73,54,0,0,0,0,3,16,5,12,2,12,48,0,7,5,7,5,3,2,1,0,1
"a497",87,44,0,0,0,1,1,9,14,12,13,6,28,0,4,10,10,2,2,1,0,1,1
"a498",67,42,0,0,0,0,1,8,13,14,14,6,54,0,5,6,15,2,0,3,1,0,1
"a499",181,135,0,1,0,5,7,28,19,17,8,23,64,0,15,11,20,6,4,4,0,0,1
"a500",76,36,0,0,0,0,17,5,12,13,7,11,48,0,5,11,9,1,3,0,1,0,1
"a502",101,67,0,0,0,1,7,3,13,10,7,11,44,0,7,13,7,1,1,0,1,0,1
"a503",192,152,0,0,0,2,5,14,20,27,2,7,92,1,13,12,23,8,3,0,0,0,1
"a506",143,87,0,0,0,0,14,1,20,46,20,19,96,0,19,18,14,7,3,2,1,0,1
"a511",60,38,5,0,0,1,10,3,15,12,3,0,57,0,3,4,13,8,4,0,0,1,1
"a513",90,60,0,0,0,0,6,7,13,19,3,1,44,0,9,7,6,6,1,0,1,0,1
"a519",99,83,0,0,0,0,2,2,11,12,0,0,36,0,8,8,10,2,0,0,0,0,1
"a52",91,59,0,0,0,0,1,2,14,17,1,11,48,0,3,12,7,2,4,1,1,0,1
"a524",82,43,0,0,0,1,6,24,9,9,10,1,36,0,5,6,9,5,2,2,0,1,1
"a527",91,61,0,0,0,0,9,3,14,6,0,21,60,0,8,7,13,1,0,0,0,1,1
"a528",97,66,0,0,0,0,1,5,4,10,3,13,36,0,4,8,8,3,6,0,0,1,1
"a529",71,55,0,0,0,1,5,7,14,16,6,17,48,0,7,8,10,4,0,1,0,0,1
"a531",183,112,0,0,0,0,26,22,20,30,11,2,108,0,12,19,23,4,1,2,1,2,1
"a533",78,18,0,0,0,0,17,8,15,8,1,3,52,0,6,9,8,3,1,1,0,2,1
"a535",175,130,0,0,0,6,4,16,8,11,12,8,88,0,12,10,19,10,1,4,1,3,1
"a539",89,59,0,0,0,0,13,4,16,9,6,1,48,0,5,12,9,2,2,0,0,0,1
"a54",91,66,0,0,0,2,9,1,12,11,7,2,56,0,8,6,11,2,2,1,0,0,1
"a540",64,38,0,0,0,0,19,6,9,12,5,6,38,0,3,9,12,5,2,1,0,0,1
"a543",147,82,0,1,1,5,25,20,13,21,17,10,86,0,9,18,18,7,5,5,0,0,1
"a544",95,52,0,0,0,0,15,8,4,1,9,2,44,0,6,6,11,4,3,0,0,0,1
"a545",81,56,0,0,0,0,12,2,7,2,9,10,40,0,8,13,5,3,1,0,0,0,1
"a546",177,120,0,1,0,0,18,11,32,15,12,2,60,0,15,16,20,6,2,1,0,0,1
"a548",114,91,0,0,0,1,1,6,14,3,11,0,32,0,6,5,11,6,2,0,0,0,1
"a55",160,116,0,0,0,0,9,9,18,16,13,19,88,0,22,17,14,4,5,1,1,0,1
"a550",66,49,0,0,0,0,14,2,5,23,7,12,52,0,3,8,9,6,3,1,0,0,1
"a551",145,90,0,0,1,0,7,3,33,19,31,18,92,0,16,9,25,6,2,2,0,0,1
"a558",61,34,0,0,0,5,7,11,3,12,13,10,76,0,7,9,11,3,0,0,0,0,1
"a56",77,49,0,0,0,0,6,7,8,11,12,7,36,0,8,6,7,3,2,2,1,1,1
"a562",76,37,0,0,0,1,10,1,22,8,12,3,56,0,5,8,6,6,3,2,0,0,1
"a566",80,50,0,0,0,0,11,3,17,9,11,16,36,0,6,12,7,4,1,0,0,0,1
"a567",83,63,1,0,0,2,9,1,11,12,1,0,36,0,6,3,12,2,4,2,0,1,1
"a572",78,36,0,0,0,11,17,11,12,11,3,12,56,0,5,6,15,2,2,0,0,0,1
"a574",154,85,0,0,0,5,13,18,23,11,11,20,79,0,12,13,19,13,2,2,0,0,1
"a575",69,39,0,0,0,0,6,13,19,8,17,6,44,0,7,7,12,2,1,0,1,0,1
"a577",160,109,0,0,0,0,14,16,24,17,25,24,102,0,12,9,24,9,6,1,1,0,1
"a578",72,40,0,0,1,0,7,0,11,16,9,13,56,0,7,6,15,1,0,0,0,1,1
"a579",155,107,0,0,0,0,32,13,26,21,21,15,120,0,14,11,26,6,1,1,0,1,1
"a580",90,55,0,0,0,0,1,2,5,12,6,32,48,1,5,8,11,3,1,1,0,0,1
"a581",69,54,0,0,0,0,0,4,9,9,13,7,32,0,8,8,6,4,3,1,0,0,1
"a583",78,52,0,0,0,0,22,5,13,12,12,10,68,0,6,5,10,4,4,0,1,0,1
"a584",51,27,0,0,0,0,17,3,16,9,3,7,56,0,7,8,8,4,1,2,0,0,1
"a585",94,53,0,0,0,0,15,6,21,6,7,19,52,0,5,8,11,4,1,0,5,0,1
"a588",176,112,0,0,0,0,10,13,18,16,9,13,89,0,5,12,22,10,5,2,1,5,1
"a59",158,90,0,0,0,5,5,30,28,19,22,10,100,0,13,14,21,5,6,1,0,0,1
"a590",159,102,0,0,0,1,14,12,28,27,13,19,92,0,15,15,17,8,3,1,1,0,1
"a593",173,90,0,0,0,2,9,10,27,29,18,13,90,0,13,15,19,10,2,1,0,2,1
"a594",67,51,0,0,0,0,2,7,8,11,16,7,48,0,6,9,8,5,1,0,0,1,1
"a595",82,59,0,0,0,0,4,1,10,20,0,3,36,0,7,6,12,2,2,1,0,0,1
"a597",73,53,0,0,0,0,6,10,16,20,12,2,56,0,7,7,8,7,1,0,0,0,1
"a60",182,112,0,0,5,6,20,12,7,25,15,25,85,0,14,9,22,8,6,2,1,1,1
"a602",79,43,0,0,0,1,2,3,7,15,11,2,32,0,9,7,6,4,2,1,0,1,1
"a604",161,101,0,0,0,2,7,24,32,5,3,41,104,0,12,16,22,2,6,2,0,0,1
"a607",74,27,0,0,0,0,6,8,8,7,12,14,40,0,8,11,6,4,0,1,0,0,1
"a608",98,76,0,0,0,0,10,1,13,9,5,1,20,0,5,5,9,6,3,1,5,0,1
"a609",142,88,0,0,0,1,23,25,10,16,13,16,100,0,13,18,23,5,0,0,1,0,1
"a61",67,51,0,0,0,0,16,12,12,7,15,5,28,0,9,5,12,2,2,0,0,0,1
"a613",130,88,0,0,0,0,10,2,15,16,3,18,84,0,8,12,17,7,1,2,1,1,1
"a614",93,54,0,0,0,0,6,6,7,14,9,8,32,0,8,5,7,7,2,1,0,0,1
"a617",110,79,0,5,0,0,4,5,10,5,1,14,48,0,11,7,9,1,2,1,1,0,1
"a620",65,43,0,0,0,0,6,6,14,14,8,8,44,0,3,8,9,5,3,1,1,0,1
"a621",148,106,0,0,0,10,18,9,17,15,12,24,93,0,16,11,20,8,9,2,1,0,1
"a623",54,37,0,0,0,0,12,5,10,15,13,6,40,0,5,5,8,6,4,1,5,0,1
"a628",213,115,0,0,0,0,20,18,32,48,20,36,136,0,16,23,29,12,8,2,0,0,1
"a63",175,115,0,0,0,0,14,8,15,32,17,17,79,0,16,13,17,10,4,1,0,0,1
"a633",83,59,0,0,0,10,4,5,30,6,5,1,56,0,6,4,14,3,1,1,1,0,1
"a637",87,63,0,0,0,1,6,3,7,13,7,12,36,0,7,3,14,4,1,0,0,1,1
"a639",225,162,0,0,0,0,23,17,34,21,27,29,128,0,17,24,36,7,6,0,0,0,1
"a642",166,105,0,1,0,5,4,9,42,14,8,38,80,0,13,15,22,4,2,3,0,1,1
"a650",65,28,0,0,0,0,5,16,9,15,7,7,16,0,7,5,12,4,1,0,1,0,1
"a656",52,36,0,0,0,1,5,8,9,6,12,21,28,1,8,8,10,0,1,1,0,1,1
"a657",79,57,0,0,0,6,1,7,10,18,6,2,28,0,5,9,8,6,1,1,0,0,1
"a661",77,45,0,0,0,0,0,23,12,16,7,6,40,0,11,5,11,0,3,0,0,0,1
"a662",91,61,0,0,0,0,7,8,9,10,5,6,52,0,7,9,6,3,4,0,0,1,1
"a669",129,83,0,0,0,6,7,16,22,22,17,23,108,0,9,12,28,7,4,0,0,0,1
"a670",82,53,0,0,0,0,5,19,18,17,2,5,48,0,7,6,9,6,5,1,0,0,1
"a671",426,255,0,0,0,2,19,32,62,61,41,67,231,0,26,39,52,24,9,3,5,1,1
"a675",189,123,0,0,0,0,26,15,17,32,29,18,112,0,16,12,22,6,2,2,0,0,1
"a676",86,54,0,0,0,1,7,28,11,9,6,0,40,0,5,5,10,5,0,4,0,1,1
"a677",91,66,0,0,0,1,2,3,2,15,3,18,36,0,2,5,15,4,3,1,0,0,1
"a678",108,63,0,0,0,5,9,2,3,3,1,14,28,0,3,8,10,3,1,3,1,1,1
"a679",73,41,0,0,0,5,13,14,11,26,6,5,64,0,11,6,7,4,0,5,1,0,1
"a680",183,127,0,0,0,6,5,3,25,19,9,19,80,0,18,10,20,7,5,0,0,0,1
"a681",106,70,0,0,0,5,3,2,12,16,6,7,48,0,11,10,12,1,0,0,0,0,1
"a683",74,43,0,0,0,0,13,1,12,8,11,8,36,0,5,5,11,4,3,1,0,1,1
"a685",84,44,0,0,0,0,8,0,12,17,13,6,20,0,9,2,10,4,4,0,0,1,1
"a693",86,55,0,0,0,0,1,12,14,11,18,10,36,0,7,6,9,4,6,2,0,0,1
"a694",56,25,0,0,0,0,1,14,7,7,16,23,64,0,5,9,9,3,1,0,0,0,1
"a696",64,19,0,0,0,5,12,3,3,13,15,13,48,0,6,6,8,6,2,1,5,0,1
"a7",96,71,0,0,0,0,2,13,1,12,5,3,24,0,11,7,7,2,1,1,0,1,1
"a70",102,57,0,0,0,11,1,11,7,12,4,12,26,0,8,5,12,5,0,1,0,1,1
"a702",73,43,0,0,0,1,17,4,18,1,9,2,52,0,8,10,5,3,1,3,0,0,1
"a707",96,72,0,0,0,0,4,9,9,6,0,7,36,0,6,8,10,3,2,1,0,0,1
"a708",112,45,0,0,0,2,10,19,18,21,26,31,88,0,12,17,22,2,3,4,0,0,1
"a71",80,42,0,0,0,1,16,2,9,11,2,19,40,0,5,10,10,1,1,1,1,1,1
"a712",167,107,0,0,0,11,19,19,19,10,11,12,87,0,11,11,32,5,2,0,0,0,1
"a714",92,56,0,0,0,1,2,0,10,15,2,8,28,0,5,9,9,3,2,2,0,0,1
"a715",77,46,0,0,0,1,7,16,4,8,13,7,32,0,2,8,11,4,2,1,1,1,1
"a716",85,55,0,0,0,5,7,1,6,10,7,14,43,0,5,6,11,4,5,0,0,0,1
"a719",258,157,0,0,0,1,32,14,62,25,30,11,128,0,21,19,26,18,4,7,2,5,1
"a723",78,46,0,0,0,0,7,2,9,13,2,23,48,0,5,4,14,4,1,2,0,0,1
"a724",82,33,0,0,0,6,22,12,13,11,7,2,60,0,9,8,12,3,1,1,0,0,1
"a726",101,85,0,0,0,0,6,2,6,9,2,16,28,0,5,4,14,3,3,0,0,1,1
"a727",100,66,0,0,0,0,5,0,19,11,21,4,37,0,11,6,11,4,1,0,0,0,1
"a730",84,49,0,0,0,0,2,7,8,7,21,14,64,0,5,7,16,1,1,0,0,0,1
"a731",81,70,0,0,0,0,4,8,6,8,2,12,48,0,7,4,11,4,2,2,0,0,1
"a733",80,41,0,0,0,5,6,11,15,16,14,13,52,0,7,6,10,3,3,0,0,1,1
"a736",169,118,0,0,0,12,14,6,17,8,24,18,73,0,15,12,22,8,5,1,0,0,1
"a737",173,115,0,0,0,0,8,4,19,21,13,34,68,0,11,18,19,7,4,1,0,0,1
"a739",69,39,0,0,0,0,23,11,17,12,1,8,48,0,3,7,12,2,9,1,0,0,1
"a74",89,50,0,0,0,0,15,3,21,2,1,5,48,0,7,4,15,3,0,1,0,0,1
"a741",89,68,0,0,0,0,5,13,4,7,8,3,36,0,7,6,10,4,1,0,1,1,1
"a742",72,27,0,0,0,0,22,13,3,15,2,16,48,0,8,10,4,3,1,2,1,1,1
"a743",156,100,0,0,0,4,51,12,14,20,11,13,112,0,12,17,19,6,4,0,0,2,1
"a744",96,67,0,0,0,0,5,11,7,12,3,3,40,0,6,9,12,2,2,0,0,0,1
"a745",99,56,0,0,0,0,11,3,3,21,2,13,56,0,7,2,12,6,2,1,0,0,1
"a747",53,37,0,1,0,0,0,6,15,14,1,8,32,0,4,4,10,3,2,1,0,0,1
"a748",72,40,0,0,0,0,6,7,14,19,3,4,40,0,1,8,13,4,1,0,1,2,1
"a751",88,48,0,0,0,0,0,3,17,8,7,17,36,0,5,8,11,3,2,1,0,0,1
"a753",85,68,0,0,0,1,1,11,9,11,4,3,56,0,7,9,8,2,3,0,1,0,1
"a754",62,31,0,0,0,0,2,7,25,16,13,11,64,0,8,5,11,3,3,0,0,0,1
"a755",99,54,0,0,0,0,6,27,3,11,11,16,60,1,6,6,10,8,3,2,0,1,1
"a758",77,33,0,0,0,1,6,6,24,17,5,3,32,0,4,5,15,5,1,0,0,0,1
